year,sex,profession,income,net_worth,age,happiness
0,F,craftsman,6016.06,10000.0,63,100.0
0,M,fisher,2603.16,10000.0,50,100.0
0,M,civil servant,2925.79,10000.0,22,100.0
0,X,homemaker,134.22,10000.0,27,100.0
0,F,farmer,1392.33,10000.0,24,100.0
0,F,farmer,1683.52,10000.0,32,100.0
0,F,fisher,1288.57,10000.0,22,100.0
0,F,service provider,6900.24,10000.0,55,100.0
0,F,homemaker,247.78,10000.0,53,100.0
0,M,child,0.0,10000.0,6,100.0
0,M,homemaker,287.61,10000.0,62,100.0
0,M,homemaker,197.02,10000.0,41,100.0
0,M,unemployed,237.93,10000.0,53,100.0
0,M,civil servant,5566.21,10000.0,45,100.0
0,F,homemaker,146.93,10000.0,28,100.0
0,F,service provider,5938.2,10000.0,47,100.0
0,M,fisher,3126.7,10000.0,62,100.0
0,F,child,0.0,10000.0,17,100.0
0,M,craftsman,5300.9,10000.0,52,100.0
0,F,farmer,1894.38,10000.0,34,100.0
0,M,homemaker,156.54,10000.0,31,100.0
0,M,fisher,1496.78,10000.0,28,100.0
0,M,service provider,5718.21,10000.0,47,100.0
0,F,child,0.0,10000.0,17,100.0
0,M,farmer,2708.38,10000.0,55,100.0
0,F,homemaker,261.24,10000.0,53,100.0
0,F,child,0.0,10000.0,5,100.0
0,M,service provider,7215.4,10000.0,57,100.0
0,M,child,0.0,10000.0,15,100.0
0,X,civil servant,3758.38,10000.0,30,100.0
0,F,fisher,2173.33,10000.0,39,100.0
0,M,farmer,1316.19,10000.0,24,100.0
0,M,child,0.0,10000.0,1,100.0
0,M,unemployed,255.1,10000.0,55,100.0
0,F,child,0.0,10000.0,11,100.0
0,F,child,0.0,10000.0,13,100.0
0,M,homemaker,246.89,10000.0,51,100.0
0,M,service provider,3123.43,10000.0,22,100.0
0,M,homemaker,278.68,10000.0,57,100.0
0,X,homemaker,218.03,10000.0,45,100.0
0,F,child,0.0,10000.0,17,100.0
0,X,child,0.0,10000.0,0,100.0
0,F,fisher,3087.98,10000.0,61,100.0
0,M,child,0.0,10000.0,5,100.0
0,F,unemployed,229.95,10000.0,46,100.0
0,F,civil servant,3990.84,10000.0,31,100.0
0,F,craftsman,5050.23,10000.0,49,100.0
0,M,civil servant,5699.37,10000.0,44,100.0
0,F,craftsman,4103.65,10000.0,41,100.0
0,M,homemaker,158.16,10000.0,31,100.0
0,M,homemaker,244.32,10000.0,51,100.0
0,M,child,0.0,10000.0,6,100.0
0,F,child,0.0,10000.0,14,100.0
0,F,civil servant,5498.12,10000.0,44,100.0
0,M,fisher,1164.42,10000.0,19,100.0
0,F,unemployed,178.1,10000.0,37,100.0
0,M,craftsman,3070.34,10000.0,30,100.0
0,F,unemployed,168.71,10000.0,34,100.0
0,F,fisher,1525.66,10000.0,27,100.0
0,M,farmer,2561.32,10000.0,48,100.0
0,F,farmer,1206.03,10000.0,21,100.0
0,F,farmer,2246.46,10000.0,45,100.0
0,M,child,0.0,10000.0,17,100.0
0,F,child,0.0,10000.0,16,100.0
0,F,child,0.0,10000.0,7,100.0
0,F,child,0.0,10000.0,12,100.0
0,F,child,0.0,10000.0,7,100.0
0,M,farmer,1760.69,10000.0,34,100.0
0,M,homemaker,227.24,10000.0,49,100.0
0,M,child,0.0,10000.0,12,100.0
0,F,child,0.0,10000.0,14,100.0
0,F,farmer,1738.15,10000.0,31,100.0
0,F,unemployed,224.4,10000.0,47,100.0
0,M,homemaker,292.42,10000.0,63,100.0
0,M,homemaker,173.52,10000.0,34,100.0
0,F,fisher,1072.23,10000.0,18,100.0
0,F,child,0.0,10000.0,6,100.0
0,M,child,0.0,10000.0,12,100.0
0,F,child,0.0,10000.0,14,100.0
0,M,child,0.0,10000.0,11,100.0
0,F,child,0.0,10000.0,0,100.0
0,F,civil servant,4302.98,10000.0,34,100.0
0,M,child,0.0,10000.0,17,100.0
0,M,service provider,7408.69,10000.0,63,100.0
0,F,fisher,1978.67,10000.0,35,100.0
0,M,farmer,2417.02,10000.0,45,100.0
0,F,child,0.0,10000.0,8,100.0
0,M,service provider,6540.82,10000.0,56,100.0
0,M,service provider,4163.27,10000.0,31,100.0
0,F,farmer,2855.48,10000.0,56,100.0
0,F,unemployed,185.66,10000.0,37,100.0
0,M,fisher,1725.47,10000.0,30,100.0
0,M,civil servant,3526.86,10000.0,28,100.0
0,X,child,0.0,10000.0,11,100.0
0,F,child,0.0,10000.0,3,100.0
0,M,homemaker,274.66,10000.0,61,100.0
0,F,civil servant,3877.13,10000.0,31,100.0
0,M,homemaker,237.33,10000.0,53,100.0
0,M,service provider,3519.19,10000.0,26,100.0
0,M,child,0.0,10000.0,4,100.0
0,F,homemaker,197.55,10000.0,40,100.0
0,M,child,0.0,10000.0,3,100.0
0,M,child,0.0,10000.0,9,100.0
0,M,fisher,1854.88,10000.0,36,100.0
0,F,fisher,1174.39,10000.0,19,100.0
0,M,civil servant,7614.21,10000.0,64,100.0
0,F,child,0.0,10000.0,7,100.0
0,F,service provider,5869.6,10000.0,49,100.0
0,M,civil servant,4784.2,10000.0,39,100.0
0,M,homemaker,249.17,10000.0,51,100.0
0,F,child,0.0,10000.0,14,100.0
0,M,craftsman,3287.82,10000.0,33,100.0
0,M,civil servant,3818.51,10000.0,29,100.0
0,F,craftsman,2930.53,10000.0,28,100.0
0,F,civil servant,6904.99,10000.0,55,100.0
0,M,fisher,3328.51,10000.0,64,100.0
0,F,unemployed,102.37,10000.0,19,100.0
0,F,craftsman,4105.77,10000.0,40,100.0
0,M,homemaker,192.63,10000.0,39,100.0
0,M,civil servant,5813.0,10000.0,48,100.0
0,M,farmer,3051.06,10000.0,61,100.0
0,M,child,0.0,10000.0,13,100.0
0,M,child,0.0,10000.0,13,100.0
0,F,fisher,2144.09,10000.0,42,100.0
0,F,child,0.0,10000.0,10,100.0
0,X,child,0.0,10000.0,11,100.0
0,M,child,0.0,10000.0,4,100.0
0,M,child,0.0,10000.0,0,100.0
0,M,fisher,1640.77,10000.0,29,100.0
0,F,craftsman,3778.8,10000.0,38,100.0
0,M,craftsman,2058.11,10000.0,18,100.0
0,M,child,0.0,10000.0,15,100.0
0,M,farmer,2260.05,10000.0,45,100.0
0,M,civil servant,5837.83,10000.0,45,100.0
0,M,farmer,1676.21,10000.0,29,100.0
0,M,homemaker,219.31,10000.0,44,100.0
0,F,homemaker,282.24,10000.0,60,100.0
0,M,homemaker,238.68,10000.0,51,100.0
0,F,unemployed,193.53,10000.0,40,100.0
0,F,farmer,2328.41,10000.0,42,100.0
0,M,craftsman,6111.66,10000.0,60,100.0
0,X,service provider,3657.36,10000.0,27,100.0
0,F,farmer,1949.93,10000.0,35,100.0
0,X,craftsman,4167.74,10000.0,42,100.0
0,F,fisher,2993.89,10000.0,59,100.0
0,F,farmer,2642.24,10000.0,53,100.0
0,M,child,0.0,10000.0,4,100.0
0,F,child,0.0,10000.0,10,100.0
0,M,fisher,1132.64,10000.0,19,100.0
0,M,fisher,2567.97,10000.0,48,100.0
0,M,farmer,1937.41,10000.0,36,100.0
0,M,civil servant,2690.83,10000.0,18,100.0
0,X,child,0.0,10000.0,8,100.0
0,M,fisher,2270.85,10000.0,44,100.0
0,F,homemaker,219.35,10000.0,45,100.0
0,M,farmer,3207.95,10000.0,61,100.0
0,M,farmer,1828.12,10000.0,32,100.0
0,F,service provider,4174.82,10000.0,32,100.0
0,X,child,0.0,10000.0,5,100.0
0,F,child,0.0,10000.0,2,100.0
0,F,farmer,1641.44,10000.0,28,100.0
0,M,homemaker,109.13,10000.0,20,100.0
0,M,child,0.0,10000.0,16,100.0
0,X,child,0.0,10000.0,5,100.0
0,F,craftsman,5811.2,10000.0,62,100.0
0,F,service provider,6413.7,10000.0,54,100.0
0,F,craftsman,3685.2,10000.0,37,100.0
0,M,craftsman,6029.73,10000.0,61,100.0
0,F,fisher,3390.55,10000.0,64,100.0
0,F,unemployed,213.55,10000.0,43,100.0
0,F,child,0.0,10000.0,17,100.0
0,M,child,0.0,10000.0,2,100.0
0,X,service provider,5784.05,10000.0,49,100.0
0,M,unemployed,154.46,10000.0,30,100.0
0,M,farmer,2154.59,10000.0,42,100.0
0,F,farmer,2949.24,10000.0,59,100.0
0,F,child,0.0,10000.0,11,100.0
0,M,fisher,2071.53,10000.0,38,100.0
0,M,craftsman,4198.09,10000.0,41,100.0
0,F,homemaker,161.12,10000.0,31,100.0
0,M,child,0.0,10000.0,5,100.0
0,F,civil servant,2947.68,10000.0,22,100.0
0,F,craftsman,2430.06,10000.0,21,100.0
0,M,service provider,5486.32,10000.0,43,100.0
0,F,homemaker,258.96,10000.0,55,100.0
0,F,craftsman,2363.21,10000.0,21,100.0
0,F,homemaker,222.83,10000.0,45,100.0
0,M,homemaker,98.33,10000.0,18,100.0
0,F,homemaker,295.91,10000.0,61,100.0
0,M,farmer,2561.04,10000.0,52,100.0
0,M,craftsman,3777.36,10000.0,35,100.0
0,F,service provider,3993.4,10000.0,29,100.0
0,M,farmer,1147.94,10000.0,20,100.0
0,M,service provider,3078.39,10000.0,21,100.0
0,F,fisher,3199.62,10000.0,63,100.0
0,M,service provider,3395.4,10000.0,26,100.0
0,M,homemaker,165.54,10000.0,33,100.0
0,X,craftsman,6027.12,10000.0,64,100.0
0,X,unemployed,210.52,10000.0,42,100.0
0,M,civil servant,4504.19,10000.0,35,100.0
0,M,farmer,1515.09,10000.0,26,100.0
0,M,child,0.0,10000.0,12,100.0
0,F,unemployed,119.83,10000.0,23,100.0
0,F,farmer,2559.65,10000.0,49,100.0
0,F,homemaker,190.89,10000.0,40,100.0
0,M,farmer,2490.24,10000.0,49,100.0
0,M,child,0.0,10000.0,13,100.0
0,F,unemployed,172.56,10000.0,35,100.0
0,F,homemaker,278.65,10000.0,60,100.0
0,F,farmer,1505.14,10000.0,28,100.0
0,X,service provider,5856.16,10000.0,45,100.0
0,F,child,0.0,10000.0,7,100.0
0,M,service provider,7555.6,10000.0,63,100.0
0,F,fisher,2153.74,10000.0,39,100.0
0,M,child,0.0,10000.0,15,100.0
0,F,child,0.0,10000.0,10,100.0
0,F,farmer,1974.29,10000.0,35,100.0
0,M,farmer,1871.23,10000.0,35,100.0
0,M,child,0.0,10000.0,6,100.0
0,M,craftsman,6157.18,10000.0,64,100.0
0,F,craftsman,5799.87,10000.0,59,100.0
0,M,civil servant,3710.63,10000.0,29,100.0
0,F,child,0.0,10000.0,7,100.0
0,F,service provider,6349.89,10000.0,54,100.0
0,M,farmer,1713.33,10000.0,32,100.0
0,F,civil servant,5945.59,10000.0,46,100.0
0,M,fisher,1816.39,10000.0,33,100.0
0,F,child,0.0,10000.0,17,100.0
0,F,unemployed,251.1,10000.0,54,100.0
0,F,homemaker,281.36,10000.0,63,100.0
0,M,child,0.0,10000.0,15,100.0
0,M,fisher,1863.49,10000.0,35,100.0
0,M,farmer,1364.26,10000.0,24,100.0
0,M,homemaker,283.62,10000.0,59,100.0
0,F,service provider,4259.28,10000.0,33,100.0
0,F,homemaker,270.07,10000.0,57,100.0
0,M,farmer,2931.94,10000.0,56,100.0
0,F,child,0.0,10000.0,17,100.0
0,F,homemaker,234.59,10000.0,51,100.0
0,M,craftsman,2905.42,10000.0,26,100.0
0,M,civil servant,7584.88,10000.0,60,100.0
0,M,unemployed,166.15,10000.0,33,100.0
0,F,service provider,6466.25,10000.0,53,100.0
0,F,homemaker,96.68,10000.0,18,100.0
0,F,homemaker,107.33,10000.0,19,100.0
0,F,civil servant,4653.59,10000.0,38,100.0
0,F,fisher,3324.86,10000.0,64,100.0
0,M,craftsman,3257.89,10000.0,31,100.0
0,M,child,0.0,10000.0,9,100.0
0,M,unemployed,179.53,10000.0,35,100.0
0,F,homemaker,117.51,10000.0,22,100.0
0,F,homemaker,174.78,10000.0,35,100.0
0,F,service provider,4283.13,10000.0,35,100.0
0,F,homemaker,139.96,10000.0,29,100.0
0,M,service provider,2919.09,10000.0,20,100.0
0,M,child,0.0,10000.0,12,100.0
0,M,farmer,2469.06,10000.0,45,100.0
0,F,civil servant,4781.22,10000.0,37,100.0
0,F,child,0.0,10000.0,15,100.0
0,M,civil servant,6302.74,10000.0,50,100.0
0,F,child,0.0,10000.0,2,100.0
0,M,homemaker,225.67,10000.0,48,100.0
0,F,farmer,2444.8,10000.0,45,100.0
0,F,civil servant,6190.85,10000.0,52,100.0
0,X,fisher,1457.24,10000.0,25,100.0
0,F,unemployed,196.25,10000.0,43,100.0
0,F,fisher,2739.87,10000.0,53,100.0
0,M,fisher,3165.73,10000.0,63,100.0
0,F,farmer,1776.0,10000.0,32,100.0
0,M,child,0.0,10000.0,2,100.0
0,F,fisher,1784.59,10000.0,32,100.0
0,F,civil servant,4868.84,10000.0,38,100.0
0,F,craftsman,5486.51,10000.0,56,100.0
0,F,homemaker,261.38,10000.0,56,100.0
0,M,unemployed,135.52,10000.0,28,100.0
0,F,homemaker,168.95,10000.0,34,100.0
0,M,homemaker,139.64,10000.0,29,100.0
0,F,fisher,2417.73,10000.0,46,100.0
0,F,fisher,1441.25,10000.0,26,100.0
0,M,farmer,2329.57,10000.0,42,100.0
0,F,child,0.0,10000.0,10,100.0
0,M,farmer,1581.47,10000.0,30,100.0
0,M,civil servant,7701.95,10000.0,62,100.0
0,F,service provider,3095.5,10000.0,22,100.0
0,M,farmer,2436.2,10000.0,45,100.0
0,M,farmer,2314.51,10000.0,42,100.0
0,M,unemployed,247.33,10000.0,55,100.0
0,M,craftsman,5188.13,10000.0,55,100.0
0,F,farmer,2732.49,10000.0,55,100.0
0,X,homemaker,121.66,10000.0,24,100.0
0,M,homemaker,108.8,10000.0,20,100.0
0,F,civil servant,5877.48,10000.0,46,100.0
0,M,civil servant,5889.49,10000.0,49,100.0
0,X,civil servant,6734.1,10000.0,56,100.0
0,F,child,0.0,10000.0,2,100.0
0,F,child,0.0,10000.0,4,100.0
0,M,farmer,2148.96,10000.0,41,100.0
0,X,craftsman,5709.67,10000.0,59,100.0
0,M,service provider,7739.34,10000.0,64,100.0
0,X,fisher,2627.02,10000.0,48,100.0
0,M,unemployed,138.65,10000.0,28,100.0
0,M,child,0.0,10000.0,6,100.0
0,M,farmer,2216.65,10000.0,41,100.0
0,F,fisher,2978.86,10000.0,56,100.0
0,M,craftsman,3039.64,10000.0,28,100.0
0,F,homemaker,222.59,10000.0,45,100.0
0,F,farmer,3049.5,10000.0,58,100.0
0,M,child,0.0,10000.0,2,100.0
0,F,farmer,2537.17,10000.0,51,100.0
0,M,unemployed,103.0,10000.0,19,100.0
0,F,homemaker,126.19,10000.0,24,100.0
0,M,child,0.0,10000.0,9,100.0
0,F,craftsman,3373.11,10000.0,34,100.0
0,F,fisher,1847.26,10000.0,36,100.0
0,F,civil servant,6045.64,10000.0,51,100.0
0,F,child,0.0,10000.0,11,100.0
0,F,child,0.0,10000.0,5,100.0
0,M,farmer,2878.68,10000.0,56,100.0
0,M,unemployed,192.34,10000.0,40,100.0
0,F,child,0.0,10000.0,15,100.0
0,M,homemaker,282.27,10000.0,59,100.0
0,M,child,0.0,10000.0,9,100.0
0,F,unemployed,147.78,10000.0,29,100.0
0,F,child,0.0,10000.0,16,100.0
0,M,child,0.0,10000.0,16,100.0
0,M,child,0.0,10000.0,0,100.0
0,M,homemaker,253.44,10000.0,52,100.0
0,M,fisher,2852.07,10000.0,58,100.0
0,M,fisher,2323.55,10000.0,44,100.0
0,M,child,0.0,10000.0,10,100.0
0,M,homemaker,136.03,10000.0,28,100.0
0,F,farmer,1250.09,10000.0,22,100.0
0,F,craftsman,4030.33,10000.0,38,100.0
0,F,farmer,2260.95,10000.0,41,100.0
0,F,craftsman,2897.14,10000.0,27,100.0
0,M,child,0.0,10000.0,16,100.0
0,F,fisher,2658.82,10000.0,54,100.0
0,M,child,0.0,10000.0,12,100.0
0,M,service provider,3230.83,10000.0,25,100.0
0,M,unemployed,161.93,10000.0,31,100.0
0,F,child,0.0,10000.0,15,100.0
0,F,civil servant,4889.89,10000.0,37,100.0
0,M,fisher,2002.0,10000.0,37,100.0
0,M,civil servant,7330.19,10000.0,64,100.0
0,M,service provider,2826.86,10000.0,19,100.0
0,M,farmer,3146.9,10000.0,63,100.0
0,F,civil servant,5497.84,10000.0,42,100.0
0,F,child,0.0,10000.0,17,100.0
0,M,service provider,4631.45,10000.0,36,100.0
0,M,civil servant,5614.75,10000.0,44,100.0
0,F,fisher,2557.52,10000.0,48,100.0
0,F,child,0.0,10000.0,3,100.0
0,M,craftsman,3936.15,10000.0,39,100.0
0,F,homemaker,152.82,10000.0,32,100.0
0,F,fisher,2872.01,10000.0,58,100.0
0,F,homemaker,97.4,10000.0,18,100.0
0,M,fisher,2733.19,10000.0,51,100.0
0,M,service provider,4868.83,10000.0,39,100.0
0,M,unemployed,121.66,10000.0,22,100.0
0,M,craftsman,4085.4,10000.0,41,100.0
0,M,unemployed,198.57,10000.0,40,100.0
0,F,homemaker,203.05,10000.0,44,100.0
0,M,craftsman,4826.93,10000.0,46,100.0
0,M,farmer,2273.24,10000.0,42,100.0
0,F,unemployed,253.21,10000.0,54,100.0
0,M,craftsman,4258.82,10000.0,40,100.0
0,F,civil servant,6711.98,10000.0,58,100.0
0,F,unemployed,200.86,10000.0,42,100.0
0,M,fisher,1234.04,10000.0,20,100.0
0,F,service provider,3647.3,10000.0,28,100.0
0,M,service provider,4828.62,10000.0,37,100.0
0,F,homemaker,233.57,10000.0,47,100.0
0,F,child,0.0,10000.0,5,100.0
0,M,unemployed,103.18,10000.0,19,100.0
0,M,unemployed,233.89,10000.0,48,100.0
0,M,child,0.0,10000.0,11,100.0
0,F,child,0.0,10000.0,8,100.0
0,F,farmer,1806.57,10000.0,35,100.0
0,M,homemaker,284.88,10000.0,63,100.0
0,M,fisher,1940.01,10000.0,34,100.0
0,F,unemployed,274.21,10000.0,59,100.0
0,M,unemployed,245.35,10000.0,53,100.0
0,F,child,0.0,10000.0,16,100.0
0,F,farmer,2859.1,10000.0,53,100.0
0,X,craftsman,3239.47,10000.0,31,100.0
0,F,unemployed,249.08,10000.0,52,100.0
0,F,unemployed,231.32,10000.0,48,100.0
0,F,unemployed,112.17,10000.0,22,100.0
0,F,child,0.0,10000.0,7,100.0
0,F,homemaker,290.64,10000.0,62,100.0
0,F,child,0.0,10000.0,9,100.0
0,F,fisher,3253.75,10000.0,62,100.0
0,F,service provider,6836.26,10000.0,55,100.0
0,F,fisher,2354.73,10000.0,47,100.0
0,F,unemployed,281.41,10000.0,63,100.0
0,M,fisher,3226.46,10000.0,62,100.0
0,M,unemployed,247.96,10000.0,52,100.0
0,M,service provider,3228.76,10000.0,23,100.0
0,F,craftsman,4956.38,10000.0,51,100.0
0,F,child,0.0,10000.0,0,100.0
0,F,unemployed,161.47,10000.0,34,100.0
0,F,homemaker,139.54,10000.0,29,100.0
0,M,craftsman,4250.94,10000.0,43,100.0
0,M,farmer,2238.41,10000.0,43,100.0
0,M,farmer,1943.56,10000.0,37,100.0
0,M,farmer,2637.67,10000.0,53,100.0
0,M,craftsman,5756.78,10000.0,61,100.0
0,F,child,0.0,10000.0,7,100.0
0,M,child,0.0,10000.0,15,100.0
0,M,child,0.0,10000.0,1,100.0
0,F,farmer,2910.57,10000.0,57,100.0
0,F,farmer,1953.19,10000.0,36,100.0
0,M,homemaker,271.94,10000.0,59,100.0
0,M,child,0.0,10000.0,14,100.0
0,F,child,0.0,10000.0,4,100.0
0,M,homemaker,237.14,10000.0,53,100.0
0,M,service provider,7031.92,10000.0,59,100.0
0,M,homemaker,100.01,10000.0,19,100.0
0,F,farmer,1488.92,10000.0,26,100.0
0,F,child,0.0,10000.0,9,100.0
0,F,homemaker,278.01,10000.0,61,100.0
0,F,homemaker,103.06,10000.0,19,100.0
0,F,homemaker,156.25,10000.0,32,100.0
0,M,child,0.0,10000.0,6,100.0
0,M,service provider,6837.31,10000.0,57,100.0
0,M,child,0.0,10000.0,8,100.0
0,F,fisher,1547.83,10000.0,29,100.0
0,F,civil servant,5581.21,10000.0,43,100.0
0,F,farmer,2605.73,10000.0,48,100.0
0,M,farmer,3261.61,10000.0,61,100.0
0,F,farmer,1532.22,10000.0,27,100.0
0,F,farmer,2421.51,10000.0,48,100.0
0,F,child,0.0,10000.0,10,100.0
0,M,craftsman,2781.32,10000.0,26,100.0
0,M,child,0.0,10000.0,6,100.0
0,M,craftsman,3143.9,10000.0,31,100.0
0,M,homemaker,131.38,10000.0,26,100.0
0,M,unemployed,282.78,10000.0,61,100.0
0,F,child,0.0,10000.0,2,100.0
0,M,farmer,1320.54,10000.0,24,100.0
0,M,homemaker,141.62,10000.0,28,100.0
0,M,fisher,3088.21,10000.0,61,100.0
0,M,civil servant,6683.06,10000.0,55,100.0
1,F,civil servant,5216.41,12334.28,41,101.15
1,M,child,0.0,10000.0,2,100.0
1,M,unemployed,127.68,9579.84,26,90.0
1,M,farmer,1944.61,10698.38,37,100.19
1,F,child,0.0,10000.0,2,100.0
1,F,civil servant,5109.86,12281.01,42,101.13
1,F,child,0.0,10000.0,9,100.0
1,M,homemaker,158.99,9611.15,31,100.0
1,M,child,0.0,10000.0,4,100.0
1,M,fisher,1452.89,10452.52,25,99.85
1,M,child,0.0,10000.0,14,100.0
1,F,fisher,1337.72,10394.94,22,99.74
1,M,homemaker,226.41,9678.57,50,100.0
1,M,farmer,1416.51,10434.33,25,99.82
1,F,craftsman,4641.21,12046.68,49,101.05
1,F,service provider,6505.28,12978.72,55,101.34
1,M,child,0.0,10000.0,17,100.0
1,F,child,0.0,10000.0,6,100.0
1,F,child,0.0,10000.0,2,100.0
1,M,civil servant,4593.95,12023.05,36,101.04
1,F,retired,285.8,9737.96,65,100.0
1,F,unemployed,117.62,9569.78,23,90.0
1,M,craftsman,4399.0,11925.58,43,101.0
1,M,homemaker,241.51,9693.67,51,100.0
1,F,service provider,5215.95,12334.05,43,101.15
1,M,service provider,6195.24,12823.7,50,101.3
1,M,farmer,3257.34,11354.75,62,100.72
1,M,child,0.0,10000.0,13,100.0
1,F,child,0.0,10000.0,2,100.0
1,F,child,0.0,10000.0,10,100.0
1,F,child,0.0,10000.0,9,100.0
1,F,civil servant,5206.33,12329.24,44,101.15
1,F,farmer,2050.2,10751.18,37,100.25
1,X,child,0.0,10000.0,15,100.0
1,M,fisher,2458.4,10955.28,46,100.44
1,F,homemaker,232.4,9684.56,50,100.0
1,F,child,0.0,10000.0,11,100.0
1,F,craftsman,3925.88,11689.02,40,100.89
1,F,farmer,2667.7,11059.93,49,100.52
1,F,child,0.0,10000.0,8,100.0
1,F,service provider,6475.41,12963.78,54,101.34
1,M,farmer,3075.8,11263.98,63,100.66
1,M,child,0.0,10000.0,8,100.0
1,M,child,0.0,10000.0,2,100.0
1,M,craftsman,2272.58,10862.37,21,100.36
1,M,craftsman,4669.58,12060.87,45,101.05
1,M,unemployed,294.51,9746.67,63,90.0
1,M,farmer,1519.75,10485.95,26,99.91
1,F,unemployed,228.54,9680.7,47,90.0
1,M,child,0.0,10000.0,5,100.0
1,M,craftsman,4529.11,11990.63,45,101.02
1,M,farmer,2279.57,10865.86,41,100.36
1,M,child,0.0,10000.0,7,100.0
1,F,homemaker,237.51,9689.67,51,100.0
1,F,craftsman,5524.34,12488.25,56,101.2
1,F,homemaker,199.99,9652.15,40,100.0
1,M,child,0.0,10000.0,8,100.0
1,F,craftsman,6284.25,12868.2,64,101.31
1,M,fisher,2740.34,11096.25,51,100.55
1,M,civil servant,3177.58,11314.87,23,100.69
1,X,homemaker,145.47,9597.63,28,100.0
1,F,farmer,1362.82,10407.49,25,99.77
1,F,farmer,1753.09,10602.62,33,100.08
1,F,fisher,1305.95,10379.05,23,99.71
1,F,service provider,6518.34,12985.25,56,101.34
1,F,homemaker,246.43,9698.59,54,100.0
1,M,child,0.0,10000.0,7,100.0
1,M,homemaker,279.86,9732.02,63,100.0
1,M,homemaker,197.64,9649.8,42,100.0
1,M,unemployed,256.63,9708.79,54,90.0
1,M,civil servant,5620.86,12536.51,46,101.22
1,F,homemaker,144.9,9597.06,29,100.0
1,F,service provider,5747.2,12599.68,48,101.23
1,M,fisher,3131.67,11291.91,63,100.68
1,F,unemployed,101.48,9553.64,18,90.0
1,M,craftsman,5284.71,12368.43,53,101.16
1,F,farmer,1833.4,10642.78,35,100.13
1,M,homemaker,163.23,9615.39,32,100.0
1,M,fisher,1560.54,10506.35,29,99.94
1,M,service provider,5847.8,12649.98,48,101.25
1,F,unemployed,101.4,9553.56,18,90.0
1,M,farmer,2895.12,11173.64,56,100.6
1,F,homemaker,257.87,9710.03,54,100.0
1,F,child,0.0,10000.0,6,100.0
1,M,service provider,7266.4,13359.28,58,101.44
1,M,child,0.0,10000.0,16,100.0
1,X,civil servant,4149.75,11800.95,31,100.94
1,F,fisher,2072.08,10762.12,40,100.26
1,M,farmer,1360.86,10406.51,25,99.77
1,M,child,0.0,10000.0,2,100.0
1,M,unemployed,256.87,9709.03,56,90.0
1,F,child,0.0,10000.0,12,100.0
1,F,child,0.0,10000.0,14,100.0
1,M,homemaker,239.0,9691.16,52,100.0
1,M,service provider,3062.06,11257.11,23,100.66
