year,sex,profession,income,net_worth
1,M,homemaker,178.56,9630.72
1,F,fisher,1090.78,10271.47
1,F,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,civil servant,4579.75,12015.95
1,M,civil servant,2609.61,11030.88
1,M,service provider,7510.07,13481.11
1,F,fisher,1969.94,10711.05
1,M,farmer,2317.00,10884.58
1,F,child,0.00,10000.00
1,M,service provider,6869.78,13160.97
1,M,service provider,4129.74,11790.95
1,F,farmer,3058.30,11255.23
1,F,unemployed,192.06,9644.22
1,M,fisher,1668.09,10560.12
1,M,civil servant,3817.24,11634.70
1,X,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,homemaker,278.00,9730.16
1,F,civil servant,4320.13,11886.14
1,M,homemaker,262.57,9714.73
1,M,service provider,3523.27,11487.71
1,M,child,0.00,10000.00
1,F,homemaker,200.62,9652.78
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,fisher,2011.04,10731.60
1,F,fisher,1152.18,10302.17
1,M,retired,307.88,9760.04
1,F,child,0.00,10000.00
1,F,service provider,6164.61,12808.38
1,M,civil servant,5174.30,12313.23
1,M,homemaker,245.42,9697.58
1,F,child,0.00,10000.00
1,M,craftsman,3353.50,11402.83
1,M,civil servant,3858.59,11655.37
1,F,craftsman,2934.83,11193.49
1,F,civil servant,7096.22,13274.19
1,M,retired,311.36,9763.52
1,F,unemployed,112.11,9564.27
1,F,craftsman,4075.34,11763.75
1,M,homemaker,185.06,9637.22
1,M,civil servant,6257.72,12854.94
1,M,farmer,3300.79,11376.47
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,fisher,2176.15,10814.15
1,F,child,0.00,10000.00
1,X,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,fisher,1659.37,10555.76
1,F,craftsman,3805.29,11628.72
1,M,craftsman,2246.42,10849.29
1,M,child,0.00,10000.00
1,M,farmer,2474.72,10963.44
1,M,civil servant,5486.13,12469.14
1,M,farmer,1657.59,10554.87
1,M,homemaker,215.96,9668.12
1,F,homemaker,276.33,9728.49
1,M,homemaker,253.79,9705.95
1,F,unemployed,196.35,9648.51
1,F,farmer,2204.78,10828.47
1,M,craftsman,5965.91,12709.03
1,X,service provider,3791.60,11621.88
1,F,farmer,1884.50,10668.33
1,X,craftsman,4252.44,11852.30
1,F,fisher,3217.77,11334.96
1,F,farmer,2826.85,11139.50
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,fisher,1186.23,10319.19
1,M,fisher,2555.55,11003.85
1,M,farmer,1913.97,10683.06
1,M,civil servant,2636.01,11044.08
1,X,child,0.00,10000.00
1,M,fisher,2325.56,10888.86
1,F,homemaker,221.08,9673.24
1,M,farmer,3074.30,11263.23
1,M,farmer,1751.71,10601.93
1,F,service provider,4076.84,11764.50
1,X,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,farmer,1636.07,10544.11
1,M,homemaker,109.71,9561.87
1,M,child,0.00,10000.00
1,X,child,0.00,10000.00
1,F,craftsman,6369.45,12910.80
1,F,service provider,6934.34,13193.25
1,F,craftsman,3720.42,11586.29
1,M,craftsman,5873.88,12663.02
1,F,retired,305.07,9757.23
1,F,unemployed,204.62,9656.78
1,F,farmer,1147.91,10300.03
1,M,child,0.00,10000.00
1,X,service provider,6184.05,12818.10
1,M,unemployed,154.89,9607.05
1,M,farmer,2334.83,10893.49
1,F,farmer,3160.23,11306.19
1,F,child,0.00,10000.00
1,M,fisher,2018.49,10735.32
1,M,craftsman,4073.59,11762.87
1,F,homemaker,158.47,9610.63
1,M,child,0.00,10000.00
1,F,civil servant,3129.09,11290.62
1,F,craftsman,2449.34,10950.75
1,M,service provider,5602.05,12527.10
1,F,homemaker,266.24,9718.40
1,F,craftsman,2576.43,11014.29
1,F,homemaker,210.35,9662.51
1,M,homemaker,103.24,9555.40
1,F,homemaker,282.62,9734.78
1,M,farmer,2837.33,11144.74
1,M,craftsman,3615.30,11533.73
1,F,service provider,3805.98,11629.07
1,M,farmer,1234.05,10343.10
1,M,service provider,3018.79,11235.47
1,F,fisher,3181.15,11316.65
1,M,service provider,3505.78,11478.97
1,M,homemaker,175.20,9627.36
1,X,retired,298.29,9750.45
1,X,unemployed,213.84,9666.00
1,M,civil servant,4614.60,12033.38
1,M,farmer,1452.91,10452.53
1,M,child,0.00,10000.00
1,F,unemployed,131.80,9583.96
1,F,farmer,2685.17,11068.66
1,F,homemaker,207.15,9659.31
1,M,farmer,2708.64,11080.40
1,M,child,0.00,10000.00
1,F,unemployed,182.75,9634.91
1,F,homemaker,273.54,9725.70
1,F,farmer,1612.57,10532.36
1,X,service provider,5534.77,12493.46
1,F,child,0.00,10000.00
1,M,service provider,7613.27,13532.71
1,F,fisher,2035.79,10743.97
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,farmer,1919.04,10685.60
1,M,farmer,2036.83,10744.49
1,M,child,0.00,10000.00
1,M,retired,292.96,9745.12
1,F,craftsman,6019.46,12735.81
1,M,civil servant,3909.99,11681.07
1,F,child,0.00,10000.00
1,F,service provider,6642.08,13047.12
1,M,farmer,1884.54,10668.35
1,F,civil servant,6096.28,12774.22
1,M,fisher,1859.25,10655.70
1,F,homemaker,96.55,9548.71
1,F,unemployed,252.21,9704.37
1,F,homemaker,309.61,9761.77
1,M,child,0.00,10000.00
1,M,fisher,1957.93,10705.04
1,M,farmer,1433.68,10442.92
1,M,homemaker,285.64,9737.80
1,F,service provider,4176.68,11814.42
1,F,homemaker,272.49,9724.65
1,M,farmer,2926.37,11189.26
1,F,homemaker,96.57,9548.73
1,F,homemaker,255.96,9708.12
1,M,craftsman,2782.31,11117.23
1,M,civil servant,7126.29,13289.22
1,M,unemployed,169.68,9621.84
1,F,service provider,6698.32,13075.24
1,F,homemaker,101.49,9553.65
